study_hours_per_week,attendance_percentage,previous_grade,assignments_completed_pct,sleep_hours,extracurricular_activities,parental_support,final_score
22.0,62.7,54.0,8.8,6.1,1,1,50.2
17.3,45.7,32.7,97.5,5.7,0,1,42.5
25.0,50.0,64.6,20.4,8.6,0,2,35.7
14.4,83.4,38.7,62.3,6.9,0,2,44.1
20.5,63.3,46.7,42.0,10.0,1,1,36.9
29.5,52.9,82.3,38.4,7.1,1,1,56.1
35.5,73.8,39.2,93.1,5.6,1,2,57.5
36.8,85.3,86.5,14.9,8.8,0,2,53.5
20.1,55.4,95.6,99.7,7.9,1,0,52.0
20.8,89.6,72.5,37.9,8.1,1,2,48.2
32.0,95.7,79.7,64.9,8.8,1,0,59.2
12.6,75.8,80.0,96.8,6.0,0,1,51.9
33.5,80.1,99.5,5.8,6.8,0,0,51.9
19.8,43.2,53.9,92.3,6.7,0,2,46.4
4.6,96.7,41.4,56.8,5.1,1,0,40.2
2.9,63.5,66.3,70.4,6.6,1,2,54.7
33.7,95.4,67.3,14.9,9.0,1,0,55.3
2.2,74.7,42.5,53.3,7.4,0,0,32.2
11.2,40.3,72.9,67.4,5.0,0,1,46.4
13.4,42.3,31.0,45.6,4.7,1,2,44.2
6.9,80.8,94.9,15.5,9.5,0,0,40.8
12.6,73.8,48.5,24.4,6.9,1,0,35.3
29.7,41.6,32.8,85.4,6.0,0,0,46.7
0.6,84.6,37.6,3.4,6.6,1,1,42.1
33.1,91.1,46.8,70.9,4.8,1,0,62.4
34.3,69.8,49.2,99.9,9.1,1,2,61.5
14.9,67.9,32.3,0.7,6.4,0,0,18.2
6.1,40.3,49.6,16.1,9.1,1,2,39.9
24.0,87.2,43.5,67.4,7.1,1,2,57.8
4.8,59.8,56.5,6.0,9.1,1,2,42.5
14.6,92.7,57.0,59.0,7.4,0,2,56.2
38.3,62.4,53.7,68.4,8.3,1,2,55.0
39.8,73.9,53.0,58.8,8.1,0,0,46.5
30.9,56.2,36.3,36.5,7.9,0,1,39.6
12.4,49.6,31.8,69.7,7.5,1,2,37.9
27.5,86.5,44.1,59.4,6.7,1,1,58.5
28.2,69.8,83.0,20.8,9.9,0,2,41.4
15.5,72.2,99.4,56.3,5.6,0,2,62.3
25.6,97.9,95.0,88.2,7.0,1,2,88.6
0.4,97.8,65.3,66.7,7.0,1,0,47.9
8.4,91.3,67.2,47.2,7.6,0,1,48.6
21.0,51.3,52.0,32.2,6.4,1,0,35.1
6.6,75.7,84.2,8.6,7.5,1,0,48.3
6.6,92.7,83.5,24.5,6.7,1,0,48.8
33.5,62.5,89.1,1.1,4.6,0,1,56.6
39.6,46.1,92.7,98.7,7.0,1,1,71.4
22.2,88.7,60.4,22.2,5.3,1,2,54.1
33.6,68.9,83.7,81.5,4.4,1,2,77.9
39.6,73.9,86.4,16.9,7.2,1,2,68.3
5.7,98.9,51.6,28.4,7.7,0,0,47.1
17.9,76.4,95.0,41.8,7.8,0,1,57.6
15.7,65.5,36.6,32.4,7.9,0,2,57.4
3.2,62.2,99.6,79.8,4.1,0,0,66.2
30.2,65.1,83.9,95.8,5.0,0,1,68.5
17.4,47.1,36.5,87.5,10.0,0,2,31.5
18.8,87.7,75.9,15.4,5.4,1,2,60.2
6.0,90.3,32.4,77.7,7.9,1,2,55.8
7.2,57.1,83.9,14.8,6.0,1,1,59.3
36.3,58.2,85.9,91.3,7.1,1,1,73.8
1.8,92.5,72.2,51.8,6.1,0,1,58.3
9.3,41.4,90.0,33.6,7.8,0,2,39.5
11.7,71.2,36.9,15.7,7.2,0,1,37.4
19.6,67.8,49.3,1.2,6.3,0,1,32.2
23.5,81.4,59.0,24.8,5.4,0,0,39.4
19.7,49.8,33.0,91.4,7.4,1,1,43.5
3.4,80.1,61.4,79.7,5.2,1,0,55.8
9.7,62.6,48.6,97.0,7.6,1,1,52.3
33.7,77.1,57.5,10.1,10.9,0,2,47.9
25.5,42.4,59.8,59.2,9.0,1,2,49.1
26.0,67.7,91.6,25.7,8.1,1,1,50.2
26.8,71.3,48.9,54.3,6.9,0,2,50.0
30.5,52.9,92.6,32.0,4.1,0,2,54.6
2.3,48.4,59.8,28.3,5.0,1,1,30.1
14.7,51.3,52.9,57.4,8.9,0,2,44.8
21.6,60.6,65.2,18.3,5.8,1,1,44.5
13.5,45.8,59.2,46.9,6.0,0,2,50.6
33.8,96.8,48.0,65.1,6.8,0,1,63.1
19.3,64.3,65.2,12.8,5.4,1,0,42.6
30.7,88.5,40.6,93.1,5.2,0,0,58.7
34.1,98.5,54.6,50.6,6.9,0,2,55.8
20.2,44.8,69.6,82.0,5.7,0,0,37.8
36.4,79.1,58.9,65.4,5.9,0,2,62.1
23.5,92.3,87.7,71.0,5.8,1,0,63.7
34.0,78.1,48.0,71.6,7.8,0,1,48.5
13.6,65.7,97.9,87.5,6.7,0,1,73.7
20.0,65.9,84.9,61.4,6.7,1,1,49.8
21.3,42.2,97.7,27.8,7.9,1,0,50.9
4.2,72.1,88.7,10.0,6.8,0,0,39.3
15.9,99.6,39.9,60.6,6.6,1,1,57.4
36.7,97.5,66.9,6.6,7.7,0,1,56.0
25.2,42.4,41.9,24.1,8.0,1,2,40.6
7.1,82.3,87.3,6.1,6.8,1,1,47.3
13.6,58.1,70.9,54.9,7.1,1,0,42.1
7.7,94.2,48.4,16.0,5.8,0,0,47.2
1.0,42.7,95.1,61.0,5.7,0,1,61.7
37.1,96.2,38.1,79.1,8.2,1,1,58.5
17.9,90.2,69.5,82.2,7.7,1,2,57.4
12.3,47.1,80.5,31.0,7.7,0,1,45.3
23.9,43.6,34.1,54.9,7.4,0,1,49.8
0.3,90.1,71.8,56.3,7.1,0,0,48.7
11.1,49.3,87.1,47.3,8.0,1,0,55.0
28.1,72.1,34.7,65.5,8.4,0,2,40.8
25.4,94.9,65.9,21.0,8.4,1,1,52.8
39.3,74.0,48.1,97.9,6.8,1,1,63.0
24.8,63.8,76.4,9.8,9.1,1,1,48.8
19.1,66.7,38.3,82.9,7.3,0,0,36.2
30.5,43.8,95.6,59.4,7.9,1,1,52.7
36.1,98.1,92.6,24.5,7.4,1,1,73.0
28.8,58.6,43.0,74.6,7.4,0,0,49.2
38.5,51.4,52.6,8.4,5.9,1,1,55.7
31.3,57.2,71.1,77.4,8.1,1,1,66.2
34.7,97.9,80.3,59.0,11.3,1,0,59.7
4.6,45.7,61.0,11.1,6.4,1,1,35.7
29.3,92.0,40.9,8.0,7.1,0,2,55.6
17.6,82.5,37.3,75.1,6.3,1,0,51.4
22.1,89.8,100.0,29.3,6.3,1,2,63.5
26.2,98.6,61.9,88.9,9.3,0,1,50.4
38.8,90.5,91.1,76.2,6.0,1,2,80.7
39.4,96.6,63.8,69.8,6.3,0,0,60.1
11.5,47.6,94.6,27.9,4.6,1,2,58.5
29.4,87.7,36.1,70.9,5.9,1,1,61.1
30.0,72.7,38.0,94.8,4.4,0,2,62.9
13.9,72.6,95.1,9.2,7.9,0,2,61.6
5.0,93.9,96.3,32.6,11.2,0,0,37.3
1.6,98.3,52.0,23.5,6.4,1,0,45.6
31.1,82.3,54.9,39.3,4.5,0,0,57.2
19.6,69.0,61.7,74.2,8.3,1,1,41.7
39.4,67.4,59.1,47.4,5.9,0,2,53.5
18.6,63.2,43.3,57.1,8.9,1,1,35.5
39.1,61.7,92.9,31.4,6.6,1,0,59.6
16.5,63.5,47.7,14.1,6.1,0,0,46.3
31.7,45.4,79.4,26.7,6.7,1,1,64.1
3.4,44.6,34.7,86.0,8.1,1,2,32.8
22.2,86.8,32.7,60.2,6.7,0,0,46.2
32.1,66.8,75.8,37.8,6.3,0,1,58.8
37.0,95.8,53.7,79.0,6.7,1,1,65.5
32.9,76.7,75.9,6.4,5.1,0,0,55.8
1.5,42.1,36.6,25.4,7.6,0,2,30.3
14.9,49.5,96.5,23.0,4.3,1,2,70.7
1.9,52.3,82.4,98.5,6.3,1,1,62.1
4.4,98.5,91.3,70.6,8.1,0,2,56.1
27.0,53.1,39.6,61.8,7.5,0,2,48.4
28.5,70.9,52.4,0.5,7.9,0,2,49.0
30.9,96.2,55.8,18.4,6.9,1,0,53.4
34.6,98.6,67.6,63.6,8.8,0,0,62.6
29.6,54.2,50.8,38.0,8.4,1,1,43.8
32.0,42.9,34.2,92.4,7.7,1,0,42.1
2.0,49.2,55.8,76.5,8.4,1,0,37.7
9.4,43.8,47.8,44.7,8.1,1,1,23.1
24.9,51.7,57.0,75.0,6.3,1,1,50.8
34.3,74.1,43.8,97.5,5.0,0,0,50.8
0.2,94.7,48.3,46.1,7.6,0,0,32.5
20.6,72.2,73.9,64.3,7.8,0,0,58.5
27.1,77.6,57.2,91.9,8.6,1,1,58.1
1.2,52.1,54.2,24.9,5.6,1,2,42.2
16.1,88.0,67.4,88.7,5.6,0,1,57.0
35.8,77.1,84.0,9.8,7.7,0,0,53.8
26.9,91.8,56.5,64.8,6.9,1,1,64.1
9.5,96.9,71.1,78.3,4.2,1,0,57.9
34.1,60.9,97.6,61.5,7.6,0,0,58.5
13.9,45.4,66.5,49.6,4.2,1,0,53.1
34.1,53.6,93.7,61.7,5.6,1,1,53.6
12.0,66.3,85.6,15.2,9.0,1,1,46.5
23.6,96.7,34.1,21.6,9.7,0,1,35.7
15.9,62.7,60.0,27.0,5.2,1,1,47.8
11.0,86.2,78.9,59.8,6.5,1,1,56.4
35.5,72.4,99.1,44.2,7.1,1,2,70.1
7.5,51.0,62.1,24.4,9.7,0,2,47.1
3.4,59.2,36.5,88.3,6.3,1,0,37.6
13.7,79.2,69.3,37.4,6.3,1,2,58.2
28.7,80.4,38.9,44.6,9.3,0,0,50.1
32.3,66.1,82.6,41.0,6.4,1,0,53.6
39.9,53.7,65.5,18.2,8.1,0,1,56.6
11.9,83.3,80.6,73.2,4.8,1,0,61.6
16.3,50.1,90.9,44.8,6.7,1,1,64.9
5.5,96.2,74.0,1.6,4.5,1,0,57.1
23.0,51.3,72.9,96.4,5.4,0,1,59.2
39.9,46.4,82.8,81.6,8.3,0,2,59.1
28.0,69.9,89.0,72.4,6.9,1,2,63.5
23.8,71.2,90.8,86.9,6.5,0,0,61.4
15.7,70.5,32.6,90.7,5.9,1,1,53.7
36.6,66.2,68.9,33.7,6.7,1,1,55.6
19.9,99.7,45.1,61.1,7.5,1,1,51.1
5.4,69.2,90.2,60.9,8.5,1,1,52.1
14.6,68.7,75.4,26.7,3.1,0,2,63.0
2.7,65.3,59.4,22.2,5.8,1,1,51.0
8.1,44.0,43.2,11.4,7.2,0,0,21.8
0.7,75.6,53.7,65.9,6.9,1,2,45.6
18.1,53.7,79.3,78.1,7.6,1,2,59.6
25.4,78.3,44.3,76.1,7.4,1,0,57.6
13.7,43.1,36.6,31.6,6.5,0,1,38.9
16.8,98.9,92.2,20.5,6.2,1,2,59.1
38.4,68.1,83.5,45.4,6.6,1,1,60.9
30.1,93.8,44.0,54.7,8.7,1,1,45.3
21.6,68.5,50.5,91.9,5.9,1,2,56.4
11.4,43.6,98.0,87.5,6.9,1,2,71.0
35.9,89.3,79.6,91.6,7.3,1,1,61.0
9.4,78.9,72.7,85.0,9.3,1,0,40.1
13.0,86.9,51.5,96.5,6.5,1,1,51.2
36.4,65.7,50.9,46.5,8.4,1,2,52.8
21.2,78.3,32.8,4.7,8.8,0,0,33.6
29.7,91.4,81.0,8.4,6.9,0,1,59.5
23.6,77.9,33.0,39.0,6.7,0,1,49.0
26.1,60.9,30.3,25.8,6.5,1,0,25.8
12.0,79.8,81.1,17.0,6.6,1,1,60.7
9.7,80.3,96.4,95.3,8.3,0,2,62.3
12.9,97.6,83.0,19.5,7.3,0,0,56.0
6.2,62.3,63.0,95.9,7.4,1,1,42.7
35.0,65.5,64.0,76.1,5.3,0,2,61.9
11.3,88.7,60.5,64.1,5.5,0,0,52.9
22.5,70.3,52.7,67.6,10.2,0,1,49.6
31.7,84.2,66.5,33.1,6.7,1,0,44.8
31.4,67.6,60.2,64.6,5.8,0,1,55.0
17.5,52.9,71.9,18.7,9.1,0,1,32.6
19.1,84.7,92.9,93.8,7.4,1,0,67.8
39.8,47.9,99.7,30.2,7.9,0,0,58.1
27.0,51.9,35.5,25.5,6.8,0,1,43.8
32.6,77.6,56.9,71.1,6.5,1,2,58.1
36.1,84.8,42.6,65.6,6.7,1,0,58.0
31.5,93.7,54.6,45.1,4.9,0,2,69.6
7.4,56.4,50.1,63.2,6.9,0,0,27.5
22.5,46.6,42.2,15.9,7.4,0,1,36.9
4.1,97.4,83.5,67.3,9.8,1,1,61.4
26.1,49.3,64.7,27.1,7.1,1,1,44.5
38.2,51.9,94.3,27.3,3.5,0,0,52.4
20.5,57.5,32.3,16.2,6.9,1,2,44.5
17.3,71.8,34.7,33.2,11.1,1,0,24.3
1.4,93.0,58.2,33.1,8.3,0,2,44.6
38.4,85.6,35.6,45.4,5.8,0,1,50.9
4.1,82.5,48.4,19.0,7.9,1,1,44.1
1.6,50.5,99.0,19.3,5.9,1,0,44.6
9.8,61.5,44.6,54.2,5.0,1,1,41.6
2.6,68.7,43.9,12.9,6.5,0,2,38.2
18.2,48.8,70.2,68.9,7.1,0,2,56.9
20.6,56.4,64.9,94.4,4.2,0,2,74.3
12.5,58.5,70.6,42.7,5.3,0,0,37.1
2.0,47.6,56.4,90.1,7.0,0,1,43.6
4.5,73.0,87.9,9.8,6.4,0,1,42.6
15.4,82.3,39.7,4.3,7.6,1,2,48.3
2.4,44.2,60.0,72.1,5.2,1,2,43.6
27.9,68.9,78.3,76.1,8.1,1,2,57.9
8.3,86.9,90.8,84.3,5.2,1,0,61.3
12.1,84.9,55.9,5.7,9.5,0,0,34.1
15.8,88.9,69.7,77.7,4.4,1,2,69.8
16.7,66.9,34.8,37.7,5.4,0,2,46.5
0.1,89.2,41.9,30.3,7.6,1,1,40.1
4.5,54.4,34.8,17.3,9.5,1,0,15.3
34.5,61.6,81.0,99.6,7.5,0,0,62.9
0.0,50.6,50.2,6.4,7.8,1,2,33.4
20.3,68.0,80.7,82.7,7.0,1,1,67.2
19.6,63.5,34.6,63.9,5.5,0,1,39.4
13.3,54.5,90.4,73.5,6.3,0,2,49.5
17.3,85.1,88.5,71.2,5.2,1,0,64.6
31.2,58.8,36.2,85.8,5.1,0,2,60.5
33.6,56.4,31.7,18.4,7.6,1,0,35.8
10.4,47.9,33.9,0.1,5.3,0,2,31.8
12.9,66.3,89.8,59.9,7.5,1,2,54.6
9.7,58.2,46.4,35.4,5.0,0,1,51.1
19.2,62.2,68.4,12.4,7.4,0,0,34.0
27.3,54.2,59.8,18.6,6.3,1,0,39.4
9.1,85.8,85.7,33.2,9.1,0,0,50.3
13.2,95.8,64.2,7.0,7.5,1,2,41.3
37.2,69.9,65.0,5.7,8.9,0,0,49.9
1.9,78.6,99.2,91.6,5.9,0,1,67.6
18.4,92.0,40.5,31.2,7.1,1,1,52.0
28.5,99.9,88.1,98.2,5.5,0,2,80.5
6.0,76.8,33.6,96.4,6.4,0,2,46.5
1.9,93.4,63.4,14.3,6.6,1,1,41.7
5.5,94.5,92.0,71.5,5.9,1,2,68.4
36.8,87.5,76.6,60.1,5.2,1,1,63.0
0.4,67.7,78.0,69.1,4.9,1,1,59.3
7.5,44.9,48.4,9.6,3.5,1,0,41.0
1.3,40.9,59.3,18.9,5.4,1,0,43.9
4.4,68.6,55.7,7.7,7.9,1,1,39.8
24.8,69.7,66.5,60.4,4.6,0,0,59.8
9.7,64.4,62.4,98.7,4.9,1,0,52.3
22.8,74.1,52.9,67.2,9.7,0,1,41.4
23.6,73.1,51.4,71.1,6.0,1,1,56.9
34.0,90.2,47.6,98.5,7.5,0,2,58.2
0.2,46.5,55.6,67.8,8.0,1,2,43.3
34.1,53.5,40.5,4.0,8.0,1,2,34.1
24.8,87.6,91.0,86.7,4.7,1,0,65.7
6.5,90.9,72.1,36.5,6.7,1,1,57.8
30.9,99.7,39.4,0.4,4.6,0,2,58.6
34.2,92.4,78.6,50.7,10.7,0,1,50.6
10.2,93.4,89.3,93.7,4.6,0,1,73.2
36.8,58.9,46.6,25.7,5.4,1,1,45.8
18.2,64.1,40.5,49.2,5.4,1,1,46.0
24.1,56.1,30.6,17.4,4.8,0,1,46.4
39.4,76.4,33.3,5.8,9.0,0,0,39.3
14.5,96.3,83.4,8.1,10.6,0,1,53.0
32.5,60.7,99.1,72.7,6.3,1,0,76.3
12.7,73.4,33.1,86.4,5.0,0,2,45.8
32.0,57.8,82.4,14.3,3.6,1,2,56.7
24.0,50.2,35.0,28.8,6.6,1,1,33.6
8.7,51.7,71.4,19.5,6.5,0,1,40.0
16.6,43.5,82.9,2.7,6.0,0,2,33.2
12.7,97.0,55.1,55.3,7.3,1,1,51.7
3.1,64.2,30.8,70.0,7.6,0,1,31.2
1.2,90.0,71.7,64.8,7.5,1,0,55.7
13.9,80.9,99.4,38.8,6.5,1,0,61.7
0.8,51.5,48.0,55.5,5.3,1,0,34.8
6.6,50.5,43.3,9.4,8.0,1,0,31.1
29.0,88.7,38.7,15.4,7.0,1,2,53.9
28.3,55.9,68.9,93.2,8.3,0,1,47.8
